vo_pair
pay fee / absorb fee
pay bill / absorb bill
pay tax / absorb tax
pay debt / absorb debt
address need / attack need
address question / attack question
address point / attack point
address situation / attack situation
address cause / attack cause
address matter / attack matter
improve service / boost service
improve system / boost system
improve situation / boost situation
improve process / boost process
improve education / boost education
improve work / boost work
instill confidence / breathe confidence
instill value / breathe value
instill spirit / breathe spirit
instill love / breathe love
get point / catch point
get opportunity / catch opportunity
end investigation / close investigation
finalise arrangement / close arrangement
finalise agreement / close agreement
finalize deal / close deal
finalize case / close case
finalize plan / close plan
affect judgement / color judgement
affect interpretation / colour interpretation
reduce economy / deflate economy
reduce cost / deflate cost
reduce supply / deflate supply
reduce wage / deflate wage
reduce market / deflate market
read article / devour article
read information / devour information
read chapter / devour chapter
comprehend meaning / digest meaning
comprehend fact / digest fact
comprehend text / digest text
comprehend concept / digest concept
comprehend idea / digest idea
comprehend word / digest word
comprehend content / digest content
comprehend situation / digest situation
comprehend message / digest message
reject idea / disown idea
decrease noise / dull noise
suggest concept / float concept
practice profession / follow profession
practice religion / follow religion
practise profession / follow profession
understand meaning / grasp meaning
understand problem / grasp problem
understand situation / grasp situation
understand language / grasp language
understand risk / grasp risk
understand question / grasp question
manage work / juggle work
manage life / juggle life
manage career / juggle career
manage school / juggle school
cancel process / kill process
organise protest / mount protest
organize event / mount event
corrupt soul / poison soul
recall feeling / recapture feeling
damage foundation / shake foundation
determine result / shape result
determine outcome / shape outcome
ruin career / shipwreck career
cause conflict / sow conflict
cause terror / sow terror
cause hatred / sow hatred
cause confusion / stir confusion
cause reaction / stir reaction
attract worker / suck worker
experience pain / taste pain
experience life / taste life
