vo_pair
assimilate lesson / absorb lesson
assimilate thought / absorb thought
address change / attack change
instill confidence / breathe confidence
instill value / breathe value
instill love / breathe love
instill passion / breathe passion
get disease / catch disease
get result / catch result
impair memory / cloud memory
impair ability / cloud ability
impair judgement / cloud judgement
impair mind / cloud mind
affect choice / color choice
affect experience / color experience
affect interpretation / color interpretation
affect decision / colour decision
affect choice / colour choice
reduce cost / deflate cost
reduce supply / deflate supply
reduce market / deflate market
reduce currency / deflate currency
read article / devour article
read story / devour story
read chapter / devour chapter
comprehend material / digest material
comprehend situation / digest situation
reject policy / disown policy
forget trouble / drown trouble
forget problem / drown problem
forget feeling / drown feeling
decrease appetite / dull appetite
decrease noise / dull noise
suggest theory / float theory
practice profession / follow profession
stimulate discussion / fuel discussion
understand situation / grasp situation
understand question / grasp question
organise demonstration / mount demonstration
organize event / mount event
organize conference / mount conference
corrupt soul / poison soul
invest fortune / pour fortune
recall moment / recapture moment
cause death / sow death
cause chaos / sow chaos
cause panic / sow panic
cause fear / sow fear
cause violence / sow violence
cause hatred / sow hatred
cause confusion / stir confusion
attract worker / suck worker
address challenge / tackle challenge
experience pain / taste pain
